"Asset values and income are colored to denote the change in value from the previous year's filing (increase, decrease, no change)
",,,,,,,,,,,,,,,,,,,,,,,
2017_ID #,New 2017 Asset,2017_Page,2017_Description,2017_Underlying Assets,2017_Location,2017_EIF,2017_attached schedule,2017_Min Value,2017_Max Value,%Change_Value,2016_Min Value,2016_Max Value,2017_Income Type,2017_Min Income,2017_Max Income,2017_Income Exact,%Change_Income,2016_Min Income,2016_Max Income,2016_Income Exact,2016_ID #,2016_Page,2016_Description
108,,22,Trump Tower Commercial LLC,commercial real estate,"New York, NY",N/A,444,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",rent,"$5,000,001","$5,000,001",,0%,"$5,000,001","$5,000,001",,108,22,Trump Tower Commercial LLC
109,,22,Trump Tower Managing Member Inc,bank account,"New York, NY",N/A,445,"$1,001","$15,000",0%,"$1,001","$15,000",,$0,$201,,0%,$0,$201,,109,22,Trump Tower Managing Member Inc
110,,22,Trump Vineyard Estates LLC,vineyard,"Charlottesville, VA",N/A,447,"$5,000,001","$25,000,000",0%,"$5,000,001","$25,000,000",rent,"$100,001","$1,000,000",,0%,"$100,001","$1,000,000",,110,22,Trump Vineyard Estates LLC
111,,22,Trump Vineyard Estates Lot 3 Owner LLC,vineyard,"Charlottesville, VA",N/A,448,"$500,001","$1,000,000",0%,"$500,001","$1,000,000",rent,"$100,001","$1,000,000",,0%,"$100,001","$1,000,000",,111,22,Trump Vineyard Estates Lot 3 Owner LLC
112,,22,Trump Virginia Acquistions LLC,commercial real estate,"Charlottesville, VA",N/A,450,"$5,000,001","$25,000,000",0%,"$5,000,001","$25,000,000",hotel related revenue,,,"$1,015,752",47%,,,"$534,762",112,22,Trump Virginia Acquistions LLC
113,,23,Trump Virginia Lot 5 LLC,vineyard,"Charlottesville, VA",N/A,452,"$500,001","$1,000,000",0%,"$500,001","$1,000,000",rent,"$50,001","$100,000",,0%,"$50,001","$100,000",,113,22,Trump Virginia Lot 5 LLC
116,,23,Trump National Golf Club - Los Angeles,golf course & unsold lots,"Los Angeles, CA",N/A,469,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",golf related revenue/land sales,,,"$27,017,417",58%,,,"$11,270,300",116,23,Trump National Golf Club - Los Angeles
119,,23,Wollman Rink Operations LLC,operating agreement,"New York, NY",N/A,476,"$1,000,001","$5,000,000",0%,"$1,000,001","$5,000,000",ice skating rink operation,,,"$12,661,523",-2%,,,"$12,901,077",119,23,Wollman Rink Operations LLC
120,,23,HWA 555 Owners LLC,commercial real estate,"San Francisco, CA",N/A,478,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",rent,"$5,000,001","$5,000,001",,0%,"$5,000,001","$5,000,001",,120,23,HWA 555 Owners LLC
121,,23,"1290 Avenue of the Americas, a Tenancy-In-Common",commercial real estate,"New York, NY",N/A,479,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",rent,"$5,000,001","$5,000,001",,0%,"$5,000,001","$5,000,001",,121,23,"1290 Avenue of the Americas, a Tenancy-In-Common"
